51,2.8,5.8,5.3,7.3,5.8,5.8,6.2,6.5,6.4,5.5,5.6,5.8,6.3,6,6.5,6.8,6.5,7.7,7.5,7.6,7.8,2.5,5.9,5.9,7,8.1,7.9,8.2,7.8,7.6,8,6.3,6.3,6,6.4,6.3,5.2,4.9,4.8,5,4.9,4.6,4.5,4.4,4.4,4.4,4.7,3.9
52,,3.3,3.7,4.2,4.5,5.4,10.8,,6.5,7,6,5.7,4.9,4.7,4.7,4.8,4.7,,5.9,5.3,7.5,5.6,6.4,5.6,5.5,8,6.3,7,7.2,6.6,8.6,6.8,10.2,12.8,11.9,12.5,14.6,9.1,5.7,5.7,4.1,4.4,5.5,7.8,6.1,7,8.3,8.1
53,,4.3,5.3,6,3.3,6.1,5.5,,,3.2,4.5,4.2,3.2,3.2,3.4,3.9,3.6,3.3,3.3,4.5,5.4,4.5,4.4,3.8,4.4,4.7,4.8,4.6,5.2,5,4.1,3.9,3.9,5.3,5.2,5.2,4.9,5.1,4.7,4.3,3.9,4.3,4.8,4.8,4.3,4.1,3.6,3.2
54,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,6.2,5.3
55,7.1,9.1,9.6,9.9,8.9,9.1,28.7,,6.7,,16.6,,7.6,8.1,6.2,6.6,7.1,6.5,8.7,9.8,9.9,9.7,9.2,8.2,7.5,7.4,7,7.1,7.3,7.3,10.6,8.9,8,8.6,8.6,7.2,5.9,6.7,6.8,6.8,,,,7.2,,7,7.3,7.3
56,3.8,7.1,5.6,5.3,3.6,3,2.7,3.7,3.9,4,4,4.1,3.8,4.1,4.3,5.2,5.5,5.8,6.7,7.4,8.1,8.3,9,9.8,11.4,9.3,9.1,8.4,7.9,8.6,7.6,6.9,6.4,7,7.5,8,7.9,8.3,8.5,9.2,8.5,8.4,7.6,7.3,4.6,3.3,4.1,4.7
57,3.3,4.2,3.6,4.2,3.9,6,6,3.9,3.6,,5.6,5.6,6,6.3,,5.9,5.9,5.9,5.9,6.1,6,4.6,,,5.6,6.5,6.5,6,5.9,,5.8,5.6,,,6.9,,6.9,7,5.8,5.7,5.5,6.1,7.4,7.7,7.4,7,7.4,7.1
58,7.9,2.7,2.3,2.5,3.2,4.8,3.1,3,3.2,3.6,3.6,2.6,3,3.2,3.8,3.4,3.6,2.8,3.6,3.1,3.1,,4.2,3.7,6.1,3.3,3.4,2.4,3.4,4.1,2.6,10.1,3,2.7,2.4,3.7,4.1,3.4,,2.6,3.6,3,1.9,2,1.7,1.4,4.2,5.5
59,4.5,12.3,10.9,12.3,7.9,12.5,9.4,17.3,19.3,,16,15.7,25.3,,11,9.1,9.8,8.9,10.6,11.3,11.6,10.9,15.8,,,10.8,11.8,11.2,12,19.5,13.8,11,10.8,9.6,7.7,7.5,9,9,9.2,10.1,14.8,8.9,9.8,12.5,11,12.9,10.1,10.1
60,3.3,,4.1,4.4,5.2,5.6,,6.4,6.1,5.4,5.1,5.1,4.3,4.5,4.8,3.6,4.4,,,4.9,3.5,3.5,4.1,3.9,4.5,5.4,5.6,7.8,6.9,6.1,5.6,5.8,5.8,,4.2,4,3.7,3.5,3.4,3.5,3.8,4.4,4.7,4.3,3.8,3.6,3.5,4.6
61,6.4,3.6,3.7,3.6,2.4,3.8,3.8,3.7,2.6,3.8,3.5,3.4,3.5,3.6,3.2,3.3,3.5,3.4,3.6,3.5,3.5,3.4,4.1,4,3.2,4.9,4.7,5.2,4.6,4.6,4.8,3,2.8,2.5,2.3,2.1,2.1,2,2.9,2.6,5,5.6,4.8,5.8,5,4.5,4.6,3.4
62,3.2,7.3,6.8,8.5,8.5,8.3,8.2,,4.6,,4.4,4.4,3.3,3.4,,3.2,3,2.9,3.2,4,3.7,3.7,4,7.7,3.9,4.1,4.1,4.7,5.8,4.9,2.8,2.5,2.9,2.9,3,3.3,2.8,3,3.3,2.7,2.5,2.6,2.3,2.4,2.4,2.5,2.4,2.6
63,5.4,,3.1,3.1,3.1,3.1,,3,3,3.3,2.9,2.8,2.7,3.3,3.5,3.1,2.9,2.8,2.6,2.5,2.5,2.4,2.4,,,,,,3.4,2.7,3,3.6,3.5,3.7,3.9,4,4.4,4.4,4.5,4.9,8.6,4.4,3.9,3.9,4.7,2.7,2,4.2
64,8.3,5.8,5.9,5.5,5,4.5,4.3,4,3.9,3.7,3.8,3.7,3.8,3.9,3.7,3.8,3.7,4,4.1,4.1,4,3.6,3.5,3.6,3.9,4.9,5.4,5.5,5.1,4.4,4.4,4,3.8,3.7,4.1,3.8,3.3,3.4,3.4,3.4,3.4,3.5,4,4.5,4.3,3.3,2.9,4.5
65,7.3,8.4,6.2,7.4,5,5.4,5.6,5.9,5.7,5.1,5.2,4.7,6.7,7.5,5.7,5.8,5.2,,,5.6,5.6,5,5.4,5.4,5.9,7.6,7.3,6.8,6.1,8,6.5,7,7.8,6.7,6.9,7.6,5.5,5.6,5.2,5.5,,4.4,,6.5,5,7,4.4,4.8
66,5.5,7.2,7.6,9,9.5,8,7.4,7.6,7.8,8.4,8.5,9.5,,9.1,,8.6,8.1,7.6,9,,9.3,9.3,9.2,8.5,9,8.9,8.4,7.3,11.2,10.1,8.4,7.7,10,8.9,11.6,11.4,10.7,10.5,7.3,7.5,4.9,6.7,7,7.4,5.7,5.3,5.3,
67,1.7,5.4,,,4.8,4.8,4.8,5.4,5.4,5.7,,5.1,5.3,,5.5,5.4,5.3,5.5,5.5,5.4,5.2,5.2,4.5,4.2,4.2,,4.3,,,4.6,,4.2,4.2,4.2,4.2,,4,,4,,3.9,,3.8,,,3.6,,3.8
68,2.1,1.4,1.2,1.2,1.2,0.9,1.1,1,1.4,1.9,2,2.7,3.3,3.1,2.6,2.9,3.6,3,3.2,3.8,3,3.3,,,,2.4,4.3,4,4.4,,3,,3.8,3.7,2.3,2.9,,3.1,,2.1,3.1,1.8,0.8,1.1,3.7,2.5,2.6,2.7
69,1.4,3.1,3.7,3.7,3.2,3.2,3.2,3.3,3,2.7,2.9,3.2,2.6,2.1,2.3,1.8,1.4,2.8,2,1.4,0.7,2.4,2.1,2,1.4,2.6,2.9,2.9,2.7,3,2.8,3.3,,,3.6,2.9,2.2,1.9,1.5,2,2.7,3.2,3.1,2.9,2.3,1.8,1.8,1.3
70,2.9,1.2,1.1,0.9,0.9,0.9,0.7,1.8,1.9,2.6,1.9,2.2,1.8,3.9,4.9,4,3.1,2.6,2.6,3.2,2.7,2.6,2.4,3,2.4,3.2,4,3.3,2.3,2.1,2.7,3.3,3.8,4,3.9,3.6,4.2,1.8,1.4,2.5,2.6,1.7,2.1,2,5,1.7,2.3,2.2
